abreviation;nombreLibelle;libelle
whipplei;2;PCR T.whipplei
whipplei;2;TR.PCR T.whipplei
muco;1;CYTOB.ASP.BRON.MUCO
globul;2;SEX HORM.BIND.GLOBUL
globul;2;SEX HOR.BIND.GLOBUL
seminal;2;ZINC LIQ.SEMINAL
seminal;2;ARN VIH Plas.séminal
bl;2;ANALYSE  PCT°OVA.BL
bl;2;analyse pct°ova.bl
bro;1;CYTOB.ASP.BRO.IMM.DE
preanalytique;1;StockPréanalytique
chloroquine;1;H.CHLOROQUINE SG
gds;2;Fac GDS
gds;2;GDS ART + LACTATE
scr;4;SCR.ORGANOPHOSPH.URI
scr;4;SCR.ORGANOPHOS.LG
scr;4;SCR.ORGANOPHOSPHORES
scr;4;SCR.ORGANOPHOS.URI
pne;1;R.mut ARNr23S M.pne
afric;3;IFI TrypAFRIC IgG:
afric;3;TRYPANO.AFRIC.LCR
afric;3;IFI TrypAFRIC IgM
result;1;Résult.IgG(C.TRA):
creatine;1;Créatine/CréatinineU
hp;3;BIOP.DIGEST.HP CULT
hp;3;R.pcr.HPmacro 2
hp;3;BIOP.DIG.HP CULT N2
glycop;1;CMF GLYCOP.MB DIVERS
pertussis;4;PCR.B.PERTUSSIS/RES
pertussis;4;PCR.B.pertussis/SOU
pertussis;4;REC.BORD.PERTUSSIS
pertussis;4;PCR.B.PERTUSSIS/ORL
sf;1;CSté:transp.gref.SF
aspergi;1;m3 Aspergi.fumi
lactique;1;AC.LACTIQUE MTEMPS
pant;1;Pant.-ValenToxineSTA
mucop;1;Mucop/creat
biohp;2;CYTOBACT.BIOHP
biohp;2;CYTOB.BIOHP N2
cartilage;3;AC A-CARTILAGE/OREIL
cartilage;3;AC A-CARTILAGE/OREI
cartilage;3;Ac A-Cartilage/Orei
botulisme;1;SERO.BOTULISME
icsi;2;CryoCsSp ICSI/P/An
icsi;2;CRYOCS SP ICSI/P/AN
pre;2;StocPréAna pr HL
pre;2;ctrl préA avt AMP
gp;10;GP 105
gp;10;Conc GpMbr par CFM
gp;10;GP IIb - IIIa (AP2)
gp;10;GP IIb-IIIa (PAC-1)
gp;10;GP 110
gp;10;gp 46
gp;10;GP 140
gp;10;GP 41
gp;10;GP 160
gp;10;GP Ib - IX (BX1)
calcium;1;Calcium/Oxalate
aqueuse;3;Toxo H.aqueuse :
aqueuse;3;PCR CMV/Hum.aqueuse
aqueuse;3;PCR CMV HUM.AQUEUSE
tular;3;R.pcr.F.tular.Orl
tular;3;R.pcr.F.tular.Sou
tular;3;R.pcr.F.tular.Liq
laine;1;G13 HOULQUE LAINE.
do;1;DO.Hydatidose:
long;2;CULT.LONG.EMBRYON
long;2;cult.long.embryon
ileost;1;ASPECT ILEOST.
ms;1;CHLORALO.LG RECH MS
bm;17;Conclusion BM
bm;17;TG LOC DQ BM
bm;17;TG LOC DR BM
bm;17;TG LOC B BM
bm;17;TG LOC A BM
bm;17;TYPAGE LOCUS C BM
bm;17;TG LOC C BM
bm;17;HEMOGLOBINOPHATH BM
bm;17;DR à Vérif BM
bm;17;B à Vérif BM
bm;17;TYP ORGANE 1 BM
bm;17;TYPAGE LOC DQ BM
bm;17;Typ HLA CL I BM
bm;17;DQ à Vérif BM
bm;17;Typ HLA CL II BM
bm;17;Concl BM
bm;17;A à Vérif BM
polypept;2;H. POLYPEPT. PANCR.
polypept;2;HORM. POLYPEPT.PANCR
hominis;19;R.pcr.M.hominisUR
hominis;19;PCR.M.HOMINIS/RESP
hominis;19;PCR.M.HOMINIS/URI
hominis;19;R.pcr.M.hominisORL
hominis;19;PCR.M.HOMINIS/BIOP
hominis;19;R.pcr.M.hominisGEN
hominis;19;PCR.M.HOMINIS/PUS
hominis;19;R.pcr.M.hominisPUS
hominis;19;R.pcr.M.hominisLIQ
hominis;19;PCR.M.HOMINIS/LIQ
hominis;19;R.M.hominis/PCR FAC
hominis;19;PCR.M.HOMINIS/GENI
hominis;19;R.pcr.M.hominisLCR
hominis;19;PCR.M.HOMINIS/LCR
hominis;19;Qté M.hominis Lba
hominis;19;PCR.M.hominis/SOUC
hominis;19;R.pcr.M.hominisBio
hominis;19;R.pcr.M.hominisSB
hominis;19;PCR.M.HOMINIS/ORL
ana;8;L.PONC+FL.ANA
ana;8;StocPréAna pr HL
ana;8;F.ANA d.positiv(h):
ana;8;Cult Fl.ana.ART(BM)
ana;8;Cult Fl.ana.(BM):
ana;8;ana/Démographie
ana;8;Cult Fl.ana.(BM)H2
ana;8;BAC.LQ FL.ANA SEUL
ence;1;Encé. à tique M+G
orthopox;3;PCR Orthopox/Ecou.
orthopox;3;PCR Orthopox/Croûte
orthopox;3;PCR Orthopox/Liqui.
proge;1;CultureQtQlProgéHém
cyclo;1;Rapport Cyclo/Creat
rectal;2;PCR CORONA EC.RECTAL
rectal;2;PCR Corona/E.rectal
farinae;2;D2 D.FARINAE
farinae;2;d2 derm.farinae
dengue;2;PCR DENGUE/PVT DIVER
dengue;2;PCR Dengue/plasma
chromog;1;Facteur 8 Chromog.
poche;1;BACT.POCHE NUTRIT.
tropi;1;d201 blomia tropi.
ql;1;CultureQtQlProgéHém
sp;4;CryoCsSp ICSI/P/An
sp;4;SUP ETUDE MORPHO SP
sp;4;CRYOCS SP ICSI/P/AN
sp;4;Sup étude morpho sp
rossner;2;ACC :ind.Rossner :
rossner;2;ACC :ind.Rossner
retrograd;1;EtudeEjac.rétrograd
angiotens;1;E.C ANGIOTENS.sg
homin;1;R.pcr.M.hominSouch
var;1;Var.Gène Serpin A1
chrono;1;PCchrono
phenyla;13;PHENYLA.BH4 T0
phenyla;13;PHENYLA.BH4 T11
phenyla;13;PHENYLA.BH4 T10
phenyla;13;PHENYLA.BH4 T12
phenyla;13;PHENYLA.BH4 T9
phenyla;13;PHENYLA.BH4 T4
phenyla;13;PHENYLA.BH4 T3
phenyla;13;PHENYLA.BH4 T2
phenyla;13;PHENYLA.BH4 T1
phenyla;13;PHENYLA.BH4 T8
phenyla;13;PHENYLA.BH4 T7
phenyla;13;PHENYLA.BH4 T6
phenyla;13;PHENYLA.BH4 T5
alim;4;FX5 MEL ALIM.ADULTE
alim;4;FX26 MEL ALIM.ENFT
alim;4;FX28 MEL ALIM.ENFT
alim;4;FX27 MEL ALIM.ENFT
secretion;2;Conc.SécrétionPlq
secretion;2;PCR OREIL.SECRETION
noy;1;EtudeQualNoySpermat
indetermine;1;HPV risq.indéterminé
rh;5;K218 LATEX RH B5
rh;5;K217 LATEX RH B3
rh;5;K219 LATEX RH B6.01
rh;5;K215 LATEX RH B1
rh;5;K220 LATEX RH.B6.02
afr;3;IFI Tryp.Afr. IgG:
afr;3;Interpr.Trypano.Afr
afr;3;IFI Tryp.Afr. IgM:
cochlee;2;AC A-COCHLEE/OREI
cochlee;2;Ac A-Cochlée/oreil
bayes;1;TACRO AUC BAYES.
rhumatoides;1;FACT.RHUMATOIDES
ghs;1;Hémostase Spé GHS
redon;2;BACT.REDON MECH.N°2
redon;2;BACT.REDON MECH.STE
pus;36;Myco liq.pus biop.
pus;36;R.pcr.M.hominisPUS
pus;36;ID/GénotC.trachoPUS
pus;36;Typ.pcr.C.trachPus
pus;36;CYTOBAC.PUS PROFOND
pus;36;CYTBAC.PUS SUPERFIC
pus;36;CYTOBACT.PUS FERME
pus;36;CYTOBAC.PUS ABDO.N3
pus;36;CYTOBAC.PUS ABDO.N2
pus;36;CYTBAC.PUS SUPER.N5
pus;36;R.pcr.Chl.trachPUS
pus;36;CYTOBACT.PUS ABDO
pus;36;CYTOB.PUS ABDO N3
pus;36;CYTBAC.PUS SUPER.N2
pus;36;CYTOB.PUS CUTA N3
pus;36;CYTBAC.PUS SUPER.N4
pus;36;CYTOB.PUS ABDO N2
pus;36;CYTOB.PUS CUTA N2
pus;36;CYTBAC.PUS SUPER.N3
pus;36;CYTOBAC.PUS ABDOM.
pus;36;CYTBAC.PUS CUTANE
pus;36;R.pcr.C.psittaPUS
pus;36;CYTOB.PUS FERME N°2
pus;36;CYTOB.PUS FERME N°3
pus;36;CYTOB.PUS FERME N°4
pus;36;CYTOB.PUS FERME N°5
pus;36;CYTOBACT.PUS CUTA
pus;36;R.pcr.U.parvumPUS
pus;36;Nombre RLUtotalPUS
pus;36;CYTBAC.PUS CUTANE N3
pus;36;CYTBAC.PUS CUTANE N2
pus;36;CYTOBAC.PUS PROF.N3
pus;36;CYTOBAC.PUS PROF.N2
pus;36;CYTOBAC.PUS PROF.N5
pus;36;CYTOBAC.PUS PROF.N4
pus;36;R.pcr.U.urealyPUS
legionelles;1;REC.LEGIONELLES
sphe;1;DIAG.SPHE.HEREDITAIR
ch;10;HCYSTEINE 6h ap ch
ch;10;TEST CH. ALLOPURINOL
ch;10;Dos.SérCh.légKapLam
ch;10;HCYSTEINE av ch
ch;10;AC GRAS A TRES L CH
ch;10;InterprétationChBird
ch;10;TEST CH. EN PROTIDES
ch;10;TEST CH METHIONINE
ch;10;Ac gras très long ch
ch;10;Ac gras tres long ch
lactose;1;Per lactose/manitol
dim;3;Dim.2
dim;3;Dim.1
dim;3;Dim.Agrégat
adulte;1;FX5 MEL ALIM.ADULTE
staphylo;2;TR.TOXINES.STAPHYLO
staphylo;2;Ttes ToxinesStaphylo
bhcg;1;Val réf BHCG
farr;1;TEST DE FARR/A-ADN N
nocar;2;REC.NOCAR/ACTINOM 2
nocar;2;REC.NOCAR/ACTINOMYC
benzod;6;DOSAGE BENZOD. U 1
benzod;6;DOSAGE BENZOD.SG 3
benzod;6;DOSAGE BENZOD.SG 1
benzod;6;DOSAGE BENZOD.SG 2
benzod;6;DOSAGE BENZOD. U 3
benzod;6;DOSAGE BENZOD. U 2
recher;1;RECHER.14.3.3
superf;1;BAC PVT PUS SUPERF.
mycobact;6;REC. MYCOBACT.MOELLE
mycobact;6;REC. resist.MYCOBACT
mycobact;6;REC. MYCOBACT.N°2
mycobact;6;REC. MYCOBACT.N°3
mycobact;6;REC. MYCOBACT.37C
mycobact;6;ID. SCHE MYCOBACT.EX
acquittement;1;Acquittement/ABC:
bouill;1;R.pcr.M.pneu.bouill
cytog;2;CYTOG.MYELOME FISH
cytog;2;Cytog.Myelome Fish
nmen;1;16s.NMEN.Lcr/PCR
embryon;4;CULT.LONG.EMBRYON
embryon;4;2eCycle.congEmbryon
embryon;4;cult.long.embryon
embryon;4;vitrificat°embryon.
survie;1;VC testSurvieSperm
psitta;4;R.pcr.C.psittaPUS
psitta;4;R.pcr.C.psittaLCR
psitta;4;R.pcr.C.psittaOEIL
psitta;4;R.pcr.C.psittaLIQ
pneu;8;SER.CHL.PNEU.ELISA
pneu;8;R.MUT.ARN M.PNEU/SOU
pneu;8;Sér.M.pneu.LCR RFC:
pneu;8;SER.MYCOP.PNEU.ELISA
pneu;8;SER.CHL.PNEU.LCR/EL
pneu;8;SER.MYCOP.PNEU.SERUM
pneu;8;SER.MYCOP.PNEU.LCR
pneu;8;R.pcr.M.pneu.bouill
coeliaq;1;HLADQ M.COELIAQ
placen;1;BACT.PLACEN.LOOCHI
leuco;2;NumLeucoLiqBio
leuco;2;LeucoScreen
hsv;36;PCR HSV/LCR
hsv;36;PCR HSV/secrétions
hsv;36;PCR HSV/moelle
hsv;36;PCR HSV LBA
hsv;36;PCR HSV SANG
hsv;36;PCR HSV SECRE
hsv;36;PCR HSV BIOPSIE
hsv;36;hsv écouv. CP
hsv;36;hsv écouv3  CP
hsv;36;SERO HSV HERPES M+G
hsv;36;hsv moelle CP
hsv;36;PCR HSV HUM.AQUEUS
hsv;36;PCR HSV LCR
hsv;36;PCR HSV/sang
hsv;36;hsv sang CP
hsv;36;PCR HSV ECOUVILLO 3
hsv;36;hsv biopsie CP
hsv;36;PCR HSV ECOUVILLO 2
hsv;36;PCR HSV/liquide
hsv;36;hsv liq bio CP
hsv;36;PCR HSV/Biopsie
hsv;36;hsv lcr CP
hsv;36;HSV Résistance
hsv;36;PCR HSV LIQUIDE
hsv;36;hsv sécrét. CP
hsv;36;HSV RESISTANCE
hsv;36;hsv hum.aq. CP
hsv;36;PCR HSV/LBA
hsv;36;hsv écouv2 CP
hsv;36;PCR HSV ECOUVILLON
hsv;36;hsv lba CP
hsv;36;PCR HSV/écouvillon3
hsv;36;PCR HSV/hum.aqueus
hsv;36;PCR HSV MOELLE OS
hsv;36;PCR HSV/écouvillon2
hsv;36;PCR HSV/écouvillon1
ejac;1;EtudeEjac.rétrograd
histolyt;1;Ent.histolyt.PCR:
trimelliq;1;K86 ANHYD.TRIMELLIQ
li;1;PCR Rougeole/Li.bio
hydatidose;1;Hydatidose.Elisa:
nume;2;Numé.Bactér.(lot):
nume;2;Numé.Bact.(sslot):
cysticerc;1;SERO CYSTICERC.LCR
cuite;1;F81 FROMAGE P.CUITE
biop;23;PCR Métapneu/Biop.
biop;23;R.pcr.C.psittacBIOP
biop;23;Nombre RLUtotalBIOP
biop;23;Myco liq.pus biop.
biop;23;16s.N.MEN.Biop/PCR
biop;23;MYCO BIOP.POUMON
biop;23;BIOP.DIGEST.HP CULT
biop;23;R.pcr.C.pneumoBIOP
biop;23;R.pcr.U.urealyBIOP
biop;23;R.pcr.S.pneumBIOP
biop;23;Myco biop.digestive
biop;23;Mycologie biop.cutan
biop;23;BIOP.DIG.HP CULT N2
biop;23;R.pcr.typN.menBIOP
biop;23;R.pcr.U.parvumBIOP
biop;23;R.pcr.M.pneumoBIOP
biop;23;ID/GénotC.trachoBIOP
biop;23;R.pcr.Chl.tracBIOP
biop;23;R.pcr.N.meningBIOP
biop;23;R.pcr.H.pyloriBIOP
biop;23;PCR WEST-NILE BIOP.
biop;23;R.pcr.Chl.trachBIOP
biop;23;CYT.DES BIOP.PUL N2
tmps;1;TmpsThrombinePat
flacaerartd;1;FlacAERARTd.posit(h)
aureus;15;R.pcr.S.aureusORL
aureus;15;R.pcr.S.aureusART
aureus;15;PCR.S.aureus/LIQ
aureus;15;R.pcr.S.aureusOeil
aureus;15;R.pcr.S.aureus SOU
aureus;15;PCR.S.AUREUS/ART
aureus;15;M80 STAPH.AUREUS A
aureus;15;PCR.S.aureus/SOUC
aureus;15;m81 Staph.Aureus B
aureus;15;m80 Staph.Aureus A
aureus;15;R.pcr.S.aureusLiq
aureus;15;PCR.S.aureus/RESP
aureus;15;M81 STAPH.AUREUS B
aureus;15;PCR.S.aureus/ORL
aureus;15;PCR.S.aureus/OEIL
parap;1;R.pcr.B.parapORL
interpr;17;Interpr.Candidose :
interpr;17;Interpr.Filarioses:
interpr;17;Interpr.Toxocarose:
interpr;17;Interpr.Coccidioïdo
interpr;17;Interpr.Distomatose
interpr;17;Interpr.Echinococc.
interpr;17;Interpr.Histoplasm:
interpr;17;Interpr.Bilharziose:
interpr;17;Interpr.Ag.Asper:
interpr;17;Interpr.Trichinose:
interpr;17;Interpr.Trypano.Afr
interpr;17;Interpr.Trypano.AFRI
interpr;17;Interpr.Ag.Cryptoc
interpr;17;Interpr.Blastomycos
interpr;17;Interpr.Aspergillus
interpr;17;Interpr.Leishmanios
interpr;17;Interpr.Cysticercos
interpre;1;Interpré.Paludisme:
entero;16;PCR Entéro/LBA
entero;16;PCR Entéro/Lba
entero;16;PCR Entéro/Ecouv 2
entero;16;PCR Entéro/Ecouv 3
entero;16;PCR Entéro/secré.
entero;16;PCR Entéro/Ecouv.
entero;16;PCR Entéro/Biopsie
entero;16;PCR Entéro/Eco2
entero;16;PCR Entéro/Eco3
entero;16;PCR Entéro/Ecou
entero;16;PCR Entéro/selles
entero;16;PCR Entéro/LCR
entero;16;PCR Entéro/plasma
entero;16;PCR Entéro/liquide
entero;16;PCR Entéro/Sécr
entero;16;PCR Entéro/biop
enceph;1;MORT ENCEPH.
diff;1;test diff. VIH
dd;1;DD ELISA/ T
therap;2;AC THERAP/AC INDUITS
therap;2;ZoneThérapCf ouvrir
pertus;2;R.pcr.B.pertusRES
pertus;2;R.pcr.B.pertusORL
xpg;1;Gène XPG (ERCC5)
dipht;1;Séro Dipht.,Tétanos
urealyt;1;Qté U.urealyt Lba
mais;1;HX2 MEL POUSS.MAIS
menin;2;R.pcr.N.menin.Sou
menin;2;R.pcr.N.menin.Orl
ag;3;Interpr.Ag.Asper:
ag;3;Rech.Ag.cryptocoq :
ag;3;Interpr.Ag.Cryptoc
pheno;3;PHENO/SEQ G A-THROMB
pheno;3;PHENO.PENTAMERES SEP
pheno;3;Phéno/seq G AThrombi
moy;3;CYTOB.OR.MOY/SINUS
moy;3;CYTOB.OR.MOY/SIN N2
moy;3;CYTOB.OR.MOY/SIN N3
rm;1;THALASSEMIE / RM
test;2;etiq.su.test rapid
test;2;VC testSurvieSperm
cytometrie;3;CYTOMETRIE/FLUX SANG
cytometrie;3;CYTOMETRIE/F MOELLE
cytometrie;3;CYTOMETRIE/F L.BIO
pc;10;PC immuno
pc;10;MLPA PC
pc;10;Séquençage PC
pc;10;PCchrono
pc;10;Boîte Séq Gène PC
pc;10;PCchromo
pc;10;Concentrat° ADN PC
pc;10;PC CHRONO
pc;10;PC CHROMO
pc;10;GENE PC
eosinophiles;1;P.Eosinophiles Uri
rt;9;HIV1 RT PR. ARN PLAS
rt;9;seq.RT Pro ADNprov
rt;9;UDPS seq. RT plas
rt;9;seq. RT Prot lcr
rt;9;HIV1 RT PR UDPS ADN
rt;9;HIV1 RT PR. ADN PROV
rt;9;UDPS seq. RT ADN
rt;9;HIV1 RT PR UDPS PLAS
rt;9;seq. RT Prot plas
staph;9;m80 Staph.Aureus A
staph;9;PCR.gèn.R STAPH/RESP
staph;9;PCR.gèn.R STAPH/SOU
staph;9;PCR.gèn.R STAPH/ORL
staph;9;M81 STAPH.AUREUS B
staph;9;M80 STAPH.AUREUS A
staph;9;PCR.gèn.R STAPH/OEI
staph;9;PCR.gèn.R STAPH/LIQ
staph;9;m81 Staph.Aureus B
angio;1;Exp Angio.Kinines
benzodiaz;11;Id Benzodiaz.Pl
benzodiaz;11;Dos  Benzodiaz.
benzodiaz;11;Id Benzodiaz.Ur
benzodiaz;11;DOSAGE BENZODIAZ.3
benzodiaz;11;DOSAGE BENZODIAZ.2
benzodiaz;11;Dosage Benzodiaz. 1
benzodiaz;11;I D BENZODIAZ.PL
benzodiaz;11;DOSAGE BENZODIAZ.1
benzodiaz;11;Dosage Benzodiaz. 2
benzodiaz;11;Dosage Benzodiaz. 3
benzodiaz;11;Id Benzodiaz.Sg
hpv;13;GENO HPV FROTTIS
hpv;13;HPV risq.indéterminé
hpv;13;GENO HPV UTERUS
hpv;13;HPVrisque bas/indéte
hpv;13;CHARGE HPV
hpv;13;ListeHPV haut risque
hpv;13;liste HPV bas risque
hpv;13;GENO HPV EXTRAIT ADN
hpv;13;HPV non typable
hpv;13;GENO HPV ECOUV
hpv;13;HPV  haut-risque
hpv;13;GENO HPV BIOPSIE
hpv;13;Liste des HPV
versicolor;1;REC.PITY.VERSICOLOR
bird;1;InterprétationChBird
cardiolipines;1;AcCardiolipines IgG
bhbu;1;BHBU/ACA
phenothiazine;1;DOS.PHENOTHIAZINE PL
dendritiques;1;CELL.DENDRITIQUES
scl;2;SCL 70 Dosage :
scl;2;SCL 70 Titrage :
cmv;52;PCR CMV LBA
cmv;52;PCR CMV/selles
cmv;52;PCR CMV /SANG TOTAL
cmv;52;DPN cmv CT
cmv;52;cmv écouv. CP
cmv;52;cmv liq bio CP
cmv;52;cmv selles CP
cmv;52;PCR CMV SELLES
cmv;52;cmv moelle CP
cmv;52;AVIDITE CMV
cmv;52;PCR CMV /URINES
cmv;52;PCR CMV MOEL.OSSEUSE
cmv;52;CMV IgG
cmv;52;GENO CMV URINES
cmv;52;cmv lcr CP
cmv;52;CMV IgM
cmv;52;GENO CMV SANG
cmv;52;PCR CMV/Moel.oss
cmv;52;cmv lba CP
cmv;52;PCR CMV/Liq.bio
cmv;52;PCR CMV/Séc.respir
cmv;52;CMV liq.amniotiqu
cmv;52;PCR CMV BIOPSIE
cmv;52;CMV DPN
cmv;52;PCR CMV/Ecouvillon
cmv;52;PCR CMV ECOUVI. 3
cmv;52;PCR CMV ECOUVI. 2
cmv;52;cmv sang CP
cmv;52;PCR CMV/Urines
cmv;52;Index  CMV IgM urg
cmv;52;PCR CMV/LCR
cmv;52;cmv urines CP
cmv;52;Index  CMV IgM
cmv;52;cmv écouv3  CP
cmv;52;cmv sécrét. CP
cmv;52;PCR CMV /LCR
cmv;52;cmv biopsie CP
cmv;52;PCR CMV /LIQUIDE
cmv;52;IgM CMV urgente
cmv;52;cmv écouv2 CP
cmv;52;PCR CMV/Ecouvill 2
cmv;52;PCR CMV/Biopsie
cmv;52;PCR CMV/Ecouvill 3
cmv;52;PCR CMV/Sang total
cmv;52;PCR CMV HUM.AQUEUSE
cmv;52;IgG CMV urgente
cmv;52;PCR CMV SEC.RESPIRAT
cmv;52;PCR CMV/Hum.aqueuse
cmv;52;DPN CMV Conformité
cmv;52;PCR CMV/LBA
cmv;52;PCR CMV ECOUVILLON
cmv;52;SERO CMV M+G
microscope;1;ExamGttesMicroscope
pneum;5;R.pcr.S.pneumLCR
pneum;5;TRANS Séro STR.PNEUM
pneum;5;R.pcr.S.pneumLIQ
pneum;5;R.pcr.S.pneumBIOP
pneum;5;R.pcr.S.pneum ORL
paraper;2;R.pcr.B.paraperLBA
paraper;2;R.pcr.B.paraperSou
asperg;6;M222 ASPERG. RASP F6
asperg;6;M218 ASPERG. RASP F1
asperg;6;Somme 4 bdesAsperg
asperg;6;M219 ASPERG. RASP F2
asperg;6;M221 ASPERG. RASP F4
asperg;6;M220 ASPERG. RASP F3
lactate;2;LACTATE/PYRUVATE
lactate;2;Lactate.liq.bio
fvw;1;Etiquettes FVW HL
chimi;1;PAX5 MEL PROD.CHIMI
etu;1;2eme tube Etu.FIB
poly;2;A-POLY.SCLERODERMIE
poly;2;HC.AROMATIQ.POLY.
gastro;3;PCR MULT.GASTRO/ECOU
gastro;3;Gastro.Détectio/Ecou
gastro;3;PCR MULT.GASTRO
manq;1;récup manq. avt AMP
multi;3;PCR GRIP.MULTI LBA
multi;3;PCR GRIP.MULTI BIOPS
multi;3;PCR GRIP.MULTI SECRE
vwf;7;Ratio VWF CB/RAg
vwf;7;Ratio VWF PP/RAg
vwf;7;VWF CollagenBinding
vwf;7;AntiVWF IgM
vwf;7;AntiVWF IgG
vwf;7;RECH IG ANTI VWF
vwf;7;VWF Propeptide
mbp;1;Pentamères MBP
mallei;7;R.pcr.B.mallei Liq
mallei;7;PCR.B.MALLEI/PVT
mallei;7;PCR.B.MALLEI/LIQ
mallei;7;PCR.B.mallei/SOU
mallei;7;R.pcr.B.mallei sou
mallei;7;R.pcr.B.mallei ORL
mallei;7;PCR.B.MALLEI/ORL
nfs;1;NFS com1
pl;26;DOS BETABLOQUANT PL
pl;26;I D PHENOTHIAZ PL
pl;26;HOMOCYSTINE pl
