abreviation;SourceAbreviation
pcr;PCR
pcr;Pcr
pcr;pcr
amniotique;amniotique
amniotique;Amniotique
amniotique;.AMNIOTIQUE
amniotique;AMNIOTIQUE
pct;PCT
pct;Pct
pct;pct
pcs;PCS
pcs;Pcs
pcs;pcs
chimi;CHIMI
chimi;Chimi
chimi;.CHIMI
chimi;chimi
grp;grp
grp;GRP
grp;Grp
cartilage;CARTILAGE/
cartilage;Cartilage
cartilage;cartilage
cartilage;Cartilage/
cartilage;CARTILAGE
antidep;Antidep.
antidep;Antidep
antidep;antidep
antidep;ANTIDEP
ent;Ent.
ent;ENT
ent;Ent
ent;ent
afr;.Afr
afr;Afr
afr;afr
afr;AFR
afr;Afr.
env;ENV
env;Env
env;env
env;env.
haqu;HAQU.
haqu;HAQU
haqu;haqu
haqu;Haqu
respi;respi.
respi;Respi
respi;RESPI
respi;respi
thromboplas;thromboplas
thromboplas;Thromboplas
thromboplas;Thromboplas.
thromboplas;THROMBOPLAS
pdf;PDF
pdf;Pdf
pdf;pdf
afw;AFW
afw;Afw
afw;afw
quanti;Quanti
quanti;QUANTI
quanti;quanti
micro;micro
micro;Micro
micro;MICRO
amniotiqu;AMNIOTIQU
amniotiqu;amniotiqu
amniotiqu;Amniotiqu
amniotiqu;.amniotiqu
phtal;phtal.
phtal;phtal
phtal;PHTAL
phtal;Phtal
tlt;TLT
tlt;Tlt
tlt;tlt
agg;agg.
agg;Agg
agg;agg
agg;AGG
mult;mult
mult;MULT
mult;Mult
mult;MULT.
spermat;spermat
spermat;SPERMAT
spermat;Spermat
periph;periph.
periph;PERIPH
periph;periph
periph;Periph
amines;Amines
amines;AMINES
amines;.Amines
amines;amines
hemoc;Hemoc
hemoc;HEMOC
hemoc;Hemoc.
hemoc;HEMOC.
hemoc;hemoc
ric;Ric.
ric;RIC
ric;Ric
ric;ric
ped;.PED
ped;PED
ped;Ped
ped;ped
lept;Lept
lept;LEPT.
lept;LEPT
lept;lept
tissu;Tissu
tissu;.tissu
tissu;TISSU
tissu;.TISSU
tissu;tissu
tissu;TISSU.
glycine;GLYCINE
glycine;.GLYCINE
glycine;glycine
glycine;Glycine
rip;rip
rip;RIP
rip;Rip
eryth;Eryth
eryth;ERYTH
eryth;eryth
eryth;eryth.
toxine;toxine
toxine;Toxine
toxine;.TOXINE
toxine;TOXINE
prolif;PROLIF
prolif;Prolif
prolif;prolif
prolif;PROLIF.
saccharom;saccharom
saccharom;Saccharom.
saccharom;Saccharom
saccharom;SACCHAROM
preanalytique;preanalytique
preanalytique;PREANALYTIQUE
preanalytique;Preanalytique
integ;INTEG
integ;Integ
integ;integ
integ;integ.
lactof;Lactof
lactof;LACTOF
lactof;lactof
lactof;LACTOF.
tnf;TNF
tnf;Tnf
tnf;tnf
souch;souch.
souch;SOUCH.
souch;souch
souch;SOUCH
souch;Souch
vrs;VRS/
vrs;VRS
vrs;Vrs
vrs;vrs
bovin;bovin
bovin;.bovin
bovin;Bovin
bovin;BOVIN
sars;SARS/
sars;Sars
sars;SARS
sars;sars
suivicol;Suivicol
suivicol;SUIVICOL
suivicol;.SUIVICOL
suivicol;suivicol
cmf;CMF
cmf;Cmf
cmf;cmf
glycop;GLYCOP
glycop;Glycop
glycop;glycop
glycop;GLYCOP.
baumannii;Baumannii
baumannii;baumannii
baumannii;BAUMANNII
baumannii;.BAUMANNII
moelle;Moelle
moelle;moelle
moelle;MOELLE
moelle;.MOELLE
cell;CELL.
cell;cell
cell;CELL
cell;Cell
cmv;CMV/
cmv;cmv
cmv;CMV
cmv;Cmv
chloroquine;chloroquine
chloroquine;Chloroquine
chloroquine;CHLOROQUINE
chloroquine;.CHLOROQUINE
lactoglobul;lactoglobul
lactoglobul;LACTOGLOBUL
lactoglobul;lactoglobul.
lactoglobul;Lactoglobul
lactoglobul;LACTOGLOBUL.
cerbros;cerbros
cerbros;cerbros.
cerbros;CERBROS
cerbros;Cerbros
tot;tot.
tot;TOT
tot;Tot
tot;tot
tot;.tot
bacter;Bacter
bacter;Bacter.
bacter;BACTER.
bacter;bacter
bacter;BACTER
ponct;Ponct
ponct;PONCT
ponct;Ponct.
ponct;ponct
ponct;PONCT.
saur;SAUR/
saur;Saur
saur;SAUR
saur;saur
vdrl;VDRL
vdrl;Vdrl
vdrl;vdrl
glanzmann;.GLANZMANN
glanzmann;GLANZMANN
glanzmann;Glanzmann
glanzmann;glanzmann
etude;etude
etude;ETUDE
etude;Etude
choroide;Choroide/
choroide;choroide
choroide;CHOROIDE
choroide;Choroide
choroide;CHOROIDE/
tpc;TPC
tpc;Tpc
tpc;tpc
cnr;CNR
cnr;Cnr
cnr;cnr
lain;lain
lain;LAIN
lain;lain.
lain;Lain
hematies;Hematies
hematies;HEMATIES
hematies;hematies
reticulocytes;reticulocytes
reticulocytes;Reticulocytes
reticulocytes;RETICULOCYTES
kingae;KINGAE/
kingae;kingae
kingae;Kingae
kingae;KINGAE
bouill;BOUILL
bouill;.bouill
bouill;Bouill
bouill;bouill
moyennes;Moyennes
moyennes;MOYENNES
moyennes;.Moyennes
moyennes;moyennes
hydr;Hydr.
hydr;HYDR
hydr;Hydr
hydr;hydr
hydr;HYDR.
detectio;detectio
detectio;DETECTIO
detectio;Detectio
detectio;Detectio/
ecoli;ecoli
ecoli;Ecoli
ecoli;ECOLI
tps;tps
tps;TPS
tps;Tps
qual;.Qual
qual;Qual
qual;QUAL
qual;qual
rlu;RLU
rlu;Rlu
rlu;rlu
sspop;SSPOP.
sspop;Sspop
sspop;SSPOP
sspop;sspop
pht;pHt
pht;PHT
pht;Pht
pht;pht
thrombine;thrombine
thrombine;Thrombine
thrombine;THROMBINE
com;COM
com;Com
com;com
com;com.
com;.COM
com;Com.
mycoplasm;Mycoplasm
mycoplasm;mycoplasm
mycoplasm;MYCOPLASM.
mycoplasm;MYCOPLASM
cor;Cor
cor;COR
cor;cor
poumon;Poumon
poumon;POUMON
poumon;.POUMON
poumon;poumon
poumon;POUMON.
paraper;Paraper
paraper;PARAPER
paraper;paraper
screen;SCREEN
screen;Screen
screen;screen
screen;SCREEN.
cox;Cox.
cox;COX.
cox;COX
cox;Cox
cox;cox
leptospira;LEPTOSPIRA
leptospira;.Leptospira
leptospira;leptospira
leptospira;Leptospira
cutanee;.CUTANEE
cutanee;CUTANEE
cutanee;Cutanee
cutanee;cutanee
lac;LAC/
lac;LAC
lac;Lac
lac;lac
etb;.ETB
etb;ETB
etb;Etb
etb;etb
anthracis;ANTHRACIS/
anthracis;anthracis
anthracis;anthracis/
anthracis;ANTHRACIS
anthracis;Anthracis
copies;COPIES
copies;copies/
copies;copies
copies;Copies
alb;Alb
alb;alb
alb;ALB
alb;alb.
lam;Lam
lam;LAM
lam;lam
stock;stock
stock;Stock
stock;STOCK
glycoprot;GLYCOPROT
glycoprot;Glycoprot.
glycoprot;Glycoprot
glycoprot;glycoprot
specifiq;specifiq.
specifiq;SPECIFIQ
specifiq;Specifiq
specifiq;specifiq
lav;LAV
lav;Lav
lav;lav
lav;LAV.
new;New
new;NEW
new;new
tra;TRA
tra;Tra
tra;tra
tra;.tra
tra;TRA.
voie;voie
voie;.VOIE
voie;VOIE
voie;Voie
alp;alp.
alp;Alp
alp;alp
alp;ALP
cpt;cpt
cpt;CPT
cpt;Cpt
psitt;psitt
psitt;PSITT
psitt;Psitt
psitt;PSITT.
etu;ETU
etu;Etu
etu;etu
etu;Etu.
leuco;Leuco
leuco;LEUCO
leuco;leuco
tri;tri.
tri;TRI
tri;Tri
tri;tri
lba;LBA
lba;Lba
lba;lba
lba;.LBA
cryptoc;Cryptoc
cryptoc;CRYPTOC
cryptoc;.Cryptoc
cryptoc;cryptoc
anaphalyc;anaphalyc
anaphalyc;Anaphalyc
anaphalyc;ANAPHALYC
anaphalyc;ANAPHALYC.
trp;TRP
trp;Trp
trp;trp
congel;congel
congel;Congel
congel;Congel.
congel;CONGEL
congel;CONGEL.
pheno;pheno
pheno;Pheno
pheno;PHENO
pheno;PHENO.
pheno;PHENO/
pheno;Pheno/
crytosporid;crytosporid
crytosporid;CRYTOSPORID
crytosporid;CRYTOSPORID.
crytosporid;Crytosporid
amb;amb/
amb;AMB
amb;Amb
amb;amb
interpre;INTERPRE
interpre;interpre
interpre;Interpre.
interpre;Interpre
nfs;NFS
nfs;Nfs
nfs;nfs
gestat;Gestat.
gestat;GESTAT
gestat;gestat
gestat;Gestat
dialyse;Dialyse
dialyse;.DIALYSE
dialyse;DIALYSE
dialyse;dialyse
expl;expl
expl;EXPL.
expl;Expl
expl;EXPL
nnat;nnat
nnat;Nnat
nnat;NNAT
nnat;.NNAT
vwf;VWF
vwf;Vwf
vwf;vwf
amp;.AMP
amp;AMP.
amp;AMP
amp;Amp
amp;amp
rhumatoides;RHUMATOIDES
rhumatoides;.RHUMATOIDES
rhumatoides;rhumatoides
rhumatoides;Rhumatoides
fbal;FBAL/
fbal;Fbal
fbal;FBAL
fbal;fbal
prises;Prises
prises;PRISES
prises;prises/
prises;prises
amylase;Amylase
amylase;AMYLASE
amylase;.amylase
amylase;amylase
autres;AUTRES
autres;.AUTRES
autres;Autres
autres;autres
rect;rect
rect;RECT
rect;Rect
rect;RECT.
latence;latence
latence;Latence
latence;LATENCE
cra;CRA
cra;Cra
cra;cra
cra;Cra/
ana;.ANA
ana;ANA
ana;Ana
ana;ana
ana;ana/
ana;ana.
identif;Identif
identif;Identif.
identif;identif
identif;IDENTIF
identif;IDENTIF.
leishmanios;Leishmanios
leishmanios;leishmanios
leishmanios;LEISHMANIOS
leishmanios;.Leishmanios
recmutgenfviiicoch;RECMUTGENFVIIICOCH
recmutgenfviiicoch;Recmutgenfviiicoch
recmutgenfviiicoch;recmutgenfviiicoch
recmutgenfviiicoch;RecMutGenFVIIIcoch.
recmutgenfviiicoch;RecMutGenFVIIIcoch
lcr;Lcr/
lcr;LCR/
lcr;lcr
lcr;LCR
lcr;Lcr
lcr;.LCR
oxydat;Oxydat
oxydat;OXYDAT
oxydat;oxydat
ang;ANG.
ang;ANG
ang;Ang
ang;ang
ngs;NGS
ngs;Ngs
ngs;ngs
lct;LCT
lct;Lct
lct;lct
lang;Lang
lang;lang
lang;LANG.
lang;LANG
plasmat;plasmat
plasmat;PLASMAT.
plasmat;Plasmat
plasmat;plasmat.
plasmat;PLASMAT
pediatr;pediatr
pediatr;PEDIATR
pediatr;pediatr.
pediatr;Pediatr
crp;CRP
crp;Crp
crp;crp
burn;BURN
burn;Burn
burn;burn
burn;burn/
ano;ANO
ano;Ano
ano;ano
tular;tular
tular;tular.
tular;Tular
tular;TULAR
ant;Ant
ant;ant
ant;ANT
ant;ant.
epididymair;EPIDIDYMAIR
epididymair;.EPIDIDYMAIR
epididymair;epididymair
epididymair;Epididymair
cru;CRU
cru;Cru
cru;cru
cru;.CRU
fongique;.FONGIQUE
fongique;fongique
fongique;FONGIQUE
fongique;Fongique
rech;Rech.
rech;RECH.
rech;Rech/
rech;rech
rech;RECH
rech;Rech
fibroblas;FIBROBLAS
fibroblas;fibroblas
fibroblas;FIBROBLAS.
fibroblas;Fibroblas
super;super
super;SUPER
super;Super
super;SUPER.
rpo;rpo
rpo;RPO
rpo;Rpo
ttp;TTP
ttp;Ttp
ttp;ttp
ldh;LDH
ldh;Ldh
ldh;ldh
dispar;.dispar
dispar;dispar
dispar;Dispar
dispar;DISPAR
troph;troph
troph;TROPH.
troph;Troph
troph;TROPH
tropi;tropi
tropi;tropi.
tropi;TROPI
tropi;Tropi
plq;.PLQ
plq;plq
plq;PLQ
plq;Plq
ttt;TTT
ttt;Ttt
ttt;ttt
ttt;TTT/
ldl;LDL
ldl;Ldl
ldl;ldl
plp;PLP
plp;Plp
plp;plp
moel;Moel.
moel;MOEL.
moel;moel
moel;MOEL
moel;Moel
lame;.lame
lame;Lame
lame;LAME
lame;Lame/
lame;lame
fibrinolyse;.FIBRINOLYSE
fibrinolyse;Fibrinolyse
fibrinolyse;FIBRINOLYSE
fibrinolyse;fibrinolyse
benzodiazep;BENZODIAZEP.
benzodiazep;benzodiazep
benzodiazep;BENZODIAZEP
benzodiazep;Benzodiazep
subs;SUBS.
subs;SUBS
subs;Subs
subs;subs
homin;HOMIN
homin;Homin
homin;homin
collagp;Collagp
collagp;.COLLAGP
collagp;collagp
collagp;COLLAGP
tmps;tmps
tmps;Tmps
tmps;TMPS
pity;PITY.
pity;pity
pity;PITY
pity;Pity
meningocoq;MENINGOCOQ
meningocoq;Meningocoq
meningocoq;.MENINGOCOQ
meningocoq;meningocoq
liqui;Liqui
liqui;LIQUI
liqui;Liqui.
liqui;liqui
leg;.LEG
leg;leg
leg;LEG
leg;Leg
asperg;asperg
asperg;Asperg
asperg;ASPERG.
asperg;ASPERG
agregat;AGREGAT
agregat;agregat
agregat;.Agregat
agregat;Agregat
biologiques;BIOLOGIQUES
biologiques;biologiques
biologiques;.BIOLOGIQUES
biologiques;Biologiques
antitriodothyr;ANTITRIODOTHYR
antitriodothyr;antitriodothyr
antitriodothyr;ANTITRIODOTHYR.
antitriodothyr;Antitriodothyr
bois;.bois
bois;BOIS
bois;Bois
bois;bois
pneumocoque;PNEUMOCOQUE
pneumocoque;.PNEUMOCOQUE
pneumocoque;pneumocoque
pneumocoque;Pneumocoque
lev;lev/
lev;LEV
lev;Lev
lev;lev
ext;EXT
ext;Ext
ext;ext
ext;.EXT
genes;genes
genes;Genes
genes;.Genes
genes;GENES
genes;GENES.
pne;PNE
pne;Pne
pne;pne
pne;.pne
ctx;CTX
ctx;Ctx
ctx;ctx
asper;ASPER
asper;Asper
asper;Asper.
asper;asper
marquee;.Marquee
marquee;Marquee
marquee;MARQUEE
marquee;marquee
mallei;mallei
mallei;MALLEI
mallei;mallei/
mallei;Mallei
mallei;MALLEI/
mallei;.mallei
vzv;vzv
vzv;VZV
vzv;Vzv
vzv;VZV/
creatine;CREATINE
creatine;Creatine/
creatine;creatine
creatine;Creatine
germe;Germe
germe;GERME
germe;germe
germe;.Germe
etiq;etiq.
etiq;ETIQ.
etiq;Etiq
etiq;ETIQ
etiq;etiq
pthr;Pthr
pthr;pthr
pthr;PTHR
mdrd;mdrd
mdrd;MDRD
mdrd;Mdrd
disto;Disto.
disto;Disto
disto;DISTO
disto;disto
cul;Cul.
cul;CUL
cul;Cul
cul;cul
medicament;MEDICAMENT
medicament;medicament
medicament;Medicament
cere;CERE
cere;Cere
cere;.Cere
cere;cere
anim;.ANIM
anim;anim
anim;Anim
anim;ANIM
mcrlc;Mcrlc
mcrlc;mcrlc
mcrlc;MCRLC
logiciel;LOGICIEL
logiciel;Logiciel
logiciel;.LOGICIEL
logiciel;logiciel
cera;.Cera
cera;.CERA
cera;CERA
cera;Cera
cera;cera
lipidiq;LIPIDIQ
lipidiq;Lipidiq.
lipidiq;Lipidiq
lipidiq;lipidiq
temperat;temperat
temperat;Temperat
temperat;TEMPERAT
temperat;Temperat.
envoi;envoi
envoi;ENVOI
envoi;Envoi
envoi;.envoi
aqu;.AQU
aqu;aqu.
aqu;Aqu
aqu;aqu
aqu;AQU
aqu;AQU.
ctrl;CTRL
ctrl;ctrl
ctrl;Ctrl
alcal;ALCAL.
alcal;ALCAL
alcal;Alcal
alcal;alcal
odor;odor
odor;ODOR
odor;odor.
odor;Odor
pol;POL.
pol;POL
pol;Pol
pol;pol
facts;FACTS.
facts;facts
facts;FACTS
facts;Facts
pon;Pon.
pon;PON
pon;Pon
pon;pon
alterna;alterna
alterna;ALTERNA.
alterna;Alterna
alterna;ALTERNA
pos;POS
pos;Pos
pos;pos
pos;pos.
lmmcj;LMMCJ
lmmcj;Lmmcj
lmmcj;lmmcj
spntee;Spntee
spntee;spntee
spntee;SPNTEE
campylobact;Campylobact
campylobact;CAMPYLOBACT.
campylobact;campylobact
campylobact;CAMPYLOBACT
microfilaire;Microfilaire
microfilaire;MICROFILAIRE
microfilaire;.MICROFILAIRE
microfilaire;microfilaire
arn;.ARN
arn;Arn
arn;arn
arn;ARN
commentaire;COMMENTAIRE
commentaire;Commentaire
commentaire;Commentaire/
commentaire;commentaire
richlora;Richlora
richlora;RICHLORA
richlora;richlora
extr;Extr
extr;EXTR
extr;extr.
extr;extr
cryptocoq;.cryptocoq
cryptocoq;cryptocoq
cryptocoq;Cryptocoq
cryptocoq;CRYPTOCOQ
mycop;mycop
mycop;MYCOP.
mycop;Mycop
mycop;MYCOP
detection;detection
detection;DETECTION
detection;.Detection
detection;Detection
art;Art
art;art
art;ART
art;ART.
amyloide;.AMYLOIDE
amyloide;amyloide
amyloide;AMYLOIDE
amyloide;Amyloide
bocavirus;Bocavirus
bocavirus;bocavirus
bocavirus;Bocavirus/
bocavirus;BOCAVIRUS
sulfam;SULFAM.
sulfam;sulfam
sulfam;SULFAM
sulfam;Sulfam
collagen;COLLAGEN
collagen;Collagen
collagen;collagen
gran;gran
gran;GRAN
gran;Gran
gran;Gran.
aureus;aureus/
aureus;Aureus
aureus;aureus
aureus;.aureus
aureus;AUREUS
aureus;.Aureus
aureus;.AUREUS
aureus;AUREUS/
gras;.Gras
gras;GRAS
gras;Gras
gras;gras
clauss;clauss
clauss;Clauss
clauss;CLAUSS
mycob;mycob
mycob;MYCOB
mycob;MYCOB.
mycob;Mycob
cockcr;cockcr
cockcr;Cockcr.
cockcr;Cockcr
cockcr;COCKCR
calc;CALC/
calc;CALC
calc;Calc
calc;calc
antimullerienne;Antimullerienne
antimullerienne;ANTIMULLERIENNE
antimullerienne;.ANTIMULLERIENNE
antimullerienne;antimullerienne
microfil;microfil.
microfil;Microfil
microfil;MICROFIL
microfil;microfil
quatern;QUATERN
quatern;.quatern
quatern;Quatern
quatern;quatern
rub;.rub
rub;.RUB
rub;RUB
rub;Rub
rub;rub
asp;ASP
asp;ASP.
asp;Asp.
asp;Asp
asp;asp
carbo;carbo
carbo;CARBO.
carbo;Carbo
carbo;CARBO
typ;TYP.
typ;typ
typ;TYP
typ;Typ
typ;Typ.
source;SOURCE
source;.SOURCE
source;source
source;Source
atient;ATIENT
atient;Atient
atient;atient
lim;LIM
lim;Lim
lim;lim
lim;lim.
nmo;NMO
nmo;Nmo
nmo;nmo
nmo;NMO/
staph;STAPH
staph;staph
staph;Staph.
staph;STAPH.
staph;STAPH/
staph;Staph
liq;.Liq
liq;LIQ
liq;Liq
liq;liq
liq;liq.
liq;LIQ.
liq;Liq.
lit;Lit
lit;LIT
lit;lit
cplx;CPLX
cplx;cplx
cplx;Cplx
chromog;CHROMOG
chromog;Chromog.
chromog;Chromog
chromog;chromog
haq;HAQ
haq;Haq
haq;haq
haq;.HAQ
oculair;Oculair
oculair;.OCULAIR
oculair;oculair
oculair;OCULAIR
cplt;Cplt
cplt;CPLT
cplt;cplt
fumi;.fumi
fumi;FUMI.
fumi;FUMI
fumi;Fumi
fumi;fumi
atp;ATP/
atp;Atp
atp;atp
atp;ATP
alim;Alim
alim;ALIM
alim;alim
alim;ALIM.
pre;pre
pre;PRE
pre;Pre
prd;Prd
prd;PRD
prd;prd
hbc;HBC
hbc;Hbc
hbc;hbc
hbc;HBc
superf;superf
superf;SUPERF.
superf;Superf
superf;SUPERF
epinephrine;Epinephrine
epinephrine;epinephrine
epinephrine;EPINEPHRINE
prp;PRP
prp;Prp
prp;prp
hepatite;Hepatite
hepatite;HEPATITE
hepatite;hepatite
inhal;inhal
inhal;Inhal
inhal;INHAL
inhal;INHAL.
